time,[raw] acc (e_r),[raw] acc (e_theta),[raw] acc (e_phi),[raw] w (e_r),[raw] w (e_theta),[raw] w (e_phi),[raw] euler (alpha),[raw] euler (beta),[raw] euler (gamma),delta time,acc (e_r),acc (e_theta),acc (e_phi),w (e_r),w (e_theta),w (e_phi),euler (alpha),euler (beta),euler (gamma),vel (e_r),vel (e_theta),vel (e_phi),vel (x),vel (y),vel (z),pos (x),pos (y),pos (z)
0.89,0.0,0.0,0.0,0.47354273265110153,-0.8989318312396795,0.19839157607419544,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
0.932,-9.572000000000001,2.937,9.555,0.9721832999458814,-0.5334598858720668,0.5780006883829621,6.228731034517363,6.242868201458517,6.272189732892022,0.04200000000000004,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.974,-10.582,4.027,8.655000000000001,1.336433514837098,0.36852627155860274,0.21689206614533532,6.217735460229799,6.241646470982121,6.222098783359785,0.041999999999999926,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.016,-8.672,5.8870000000000005,13.685,1.5676896407263468,0.8813040057945367,0.0641757565958315,6.210056011521024,6.216688262678602,6.166422780221166,0.04200000000000004,-7.206500000000001,3.21275,7.973750000000001,1.087462297040107,-0.04564035993965171,0.2643650217995811,6.234926953361943,6.246097060574707,6.2359741509131394,-0.15133650000000015,0.06746775000000006,0.16744875000000017,-0.14809978522584283,0.05185454106344642,0.17570224126639278,-0.0031100954897427023,0.0010889453623323757,0.0036897470665942515
1.059,-2.7819999999999996,11.027000000000001,8.465,1.1236778790189894,0.9752027195518317,-1.1085109678191585,6.249325919690897,6.164328385118773,6.106383453952561,0.04299999999999993,-7.902000000000001,5.9695,10.09,1.249996083632079,0.42289327775822605,-0.06236061417375738,6.2264621064897705,6.216382830059503,6.191773687606384,-0.47616924999999966,0.26488612499999975,0.5558193749999994,-0.4522241831418726,0.1828604693621827,0.606541283355697,-0.016017060809648563,0.006135318086483393,0.020507982845969153
1.103,6.228000000000001,12.127,2.775,-0.2376789375365878,0.9457066551931274,-0.8477587775712057,0.00767944870877505,6.1194734233425185,6.106383453952561,0.04400000000000004,-3.952,8.267000000000001,8.395000000000001,0.9475305242614618,0.7926849130245246,-0.41880048066229936,6.24199553683252,6.185534135530504,6.150322117871518,-0.7369572499999999,0.578089125,0.9624893749999999,-0.6626765340446809,0.4057155069915501,1.095414789188021,-0.04054487658775276,0.019083989566265527,0.057951016441930986
1.145,12.888,14.447000000000001,-4.244999999999999,-0.6270618936565227,0.575871386695529,0.10780898789568974,0.0054105206811824215,6.09119908946021,6.130468997630082,0.04200000000000004,1.9155,10.872000000000002,5.17,0.45665667213805644,0.8445211918087561,-0.4460712502247107,6.259710628740263,6.147922290150026,6.127414671439093,-0.7797237499999999,0.9800081250000003,1.247354375,-0.6269750586458958,0.7412571200733105,1.4770640290753536,-0.0676275600342549,0.04317041473462762,0.11197307162546191
1.187,13.248,13.927,-14.254999999999999,-1.1070274379549634,0.5573708966243892,-0.9929701713371339,0.025132741228718343,6.070429671361477,6.167469977772362,0.04200000000000004,7.3955,12.882000000000001,-1.8149999999999995,-0.2120225975322711,0.7635379145162192,-0.7103577322079521,0.0010908307824965381,6.111357642320745,6.127676470826891,-0.5841927499999997,1.4788421250000008,1.3178093750000002,-0.3486766167463947,1.2450969771490852,1.6102903101905164,-0.088116245217493,0.08488385077629797,0.17680751275004525
1.235,11.228,11.507,-22.265,-0.9640849722166277,0.9085311421256482,0.09367182095453566,0.039269908169872414,6.029065368089212,6.222098783359785,0.04800000000000004,10.898,13.002,-9.497499999999999,-0.7339633103411753,0.7468700201596734,-0.4098120350145285,0.019373154697137056,6.0775418880633545,6.156605303178697,-0.14514874999999927,2.100058125000001,1.0463093749999999,0.11141455318733148,1.953657284160336,1.3026456193467593,-0.09381053474291053,0.16165395304772415,0.24671797505893994
1.278,9.828,11.937000000000001,-23.235000000000003,-1.4222339008651392,1.7277886930117867,-0.015585790220309363,0.025132741228718343,5.974436562501789,6.274458660919614,0.04299999999999993,11.797999999999998,12.9545,-16.0,-1.0301020511733132,0.9423905296143382,-0.2017687881768045,0.023736477827122883,6.041282672853172,6.1986241049204605,0.34281524999999985,2.658122875,0.4981131250000008,0.5133148753676159,2.6071360341526626,0.6087739627128874,-0.08037885202897918,0.2597110093914534,0.28781349607322226
1.321,8.798,10.437000000000001,-26.905,-0.8560490915181788,1.31432019321433,0.32475341391858487,0.016406094968746697,5.91561896670958,0.027227136331111543,0.04299999999999993,10.775500000000001,11.951999999999998,-21.665,-1.0873488506387272,1.1270027312440385,-0.1475326816710807,0.026485371399013947,5.997387642165514,6.243609966390615,0.8281454999999991,3.193612624999999,-0.3116843749999978,0.7875474419781449,3.1900879126938007,-0.43039732023720095,-0.052410312206045376,0.38435132424865215,0.29164859388644954
1.362,3.2880000000000003,6.5969999999999995,-27.905,-0.2223200401190377,0.4634721828670942,-0.13112658670233399,6.281090912077193,5.876349058539708,0.053407075111026485,0.04100000000000015,8.285499999999999,10.1195,-25.0775,-0.8661720011797459,1.1035280528047149,0.06792821448761929,0.019678587316236097,5.948867488960072,0.0027052603405911865,1.2188960000000004,3.646078375000001,-1.2699056250000011,0.8022733816512473,3.616983916534256,-1.6328012862843047,-0.019818985321642717,0.5238962967478278,0.24935302245275853
1.405,5.508,6.997,-29.025000000000002,0.27178267112055704,0.4765621522570517,-0.36342991014277926,0.014137166941154071,5.859942963570961,0.053407075111026485,0.04299999999999993,6.855499999999999,8.992,-26.767500000000002,-0.5572050903454497,0.9955358053375657,-0.046347218286709436,0.013395402009056511,5.9065868878305094,0.03132866007329813,1.5444274999999998,4.056975625000001,-2.3845731249999993,0.6096523673853601,3.94606928660347,-2.93041937089879,0.010537418282644293,0.6865019406152886,0.15124377832332214
1.447,7.5680000000000005,6.2669999999999995,-26.245,0.7049733914655496,0.30098202950642217,0.4186521276758798,0.017453292519943295,5.843536868602214,0.032812189937493394,0.04200000000000004,6.290500000000001,7.5745,-27.520000000000003,-0.025403267262777418,0.6388341394612245,0.06221226118733785,0.011475539831862749,5.873861964355616,0.041713369122664476,1.8204935,4.404872125000001,-3.524610625,0.31360960596146015,4.21398842885441,-4.157394089515329,0.029925919722927536,0.8578631526399042,0.0023996956546255
1.49,10.378,9.337,-24.725,0.6395235445157623,-0.6065891815306292,1.0328334914526844,6.26363761955725,5.8609901611221575,6.262415889080854,0.04299999999999993,6.6855,7.299499999999999,-26.975,0.3484898917457078,0.1586067957749847,0.23923228057086274,0.0024870941840920346,5.860204762958761,0.02971423051520356,2.0994774999999994,4.724663125,-4.696253124999998,-0.002559903681285114,4.5643679922736995,-5.28692529830087,0.036613488321951285,1.0465978156941582,-0.20065317118342246
1.536,14.478,10.147,-23.785,0.07874925584998414,-2.203565447105441,0.029269171555944908,6.253689242820882,5.928708936099538,6.252642045269686,0.04600000000000004,9.483,8.187,-25.945,0.42375721573796327,-0.5081526117181491,0.2793312201354325,6.278821984049601,5.873294732348718,0.008726646259971778,2.4713529999999997,5.080852625,-5.913413125,-0.11026559127673075,5.0355474631242645,-6.443772736565423,0.03401850193791692,1.2673958711683115,-0.47045922598534745
1.579,16.678,10.547,-15.325,-0.06628760499074464,-2.5569946206342924,-0.4910134784635648,6.269048140238432,6.024702044959226,6.257005368399671,0.04299999999999993,12.275500000000001,9.0745,-22.52,0.33923964671013784,-1.2665418049409851,0.24743532805523613,6.271753400579024,5.9144845026957835,6.272015199966822,2.9391607499999988,5.451974874999999,-6.955410624999998,0.17656590854842857,5.568926258705602,-7.462996564341456,0.03544395875925842,1.4953920561876533,-0.7694547659548449
1.625,11.988,15.997,-7.965,-0.18200293439796866,-2.031126917008401,0.5834112090641446,6.26677921221084,6.132563392732475,6.254736440372079,0.04600000000000004,13.380500000000001,11.507000000000001,-17.950000000000003,0.1174955652442583,-1.8495690415696908,0.2886250984023023,6.263288553706851,5.98674113372835,6.256699935780572,3.5292487499999994,5.925349375,-7.886220624999999,0.9581606684736044,6.2184106932599,-8.37682125180584,0.061542670030765204,1.76650080608286,-1.133770575726233
1.667,7.658,9.667,7.915,-2.0177402416456047,-2.1676116645143573,0.6509554511163251,6.239552075879728,6.2144193346510095,0.022863813201125717,0.04200000000000004,12.7005,11.589500000000001,-9.790000000000001,-0.5468203812960835,-2.2398246623156233,0.19315558831821245,6.257267167787471,6.075098427110563,6.267608243605537,4.07694975,6.410375875,-8.468760625,2.0755711095489495,6.65473549399773,-8.991153692407332,0.12525103736923887,2.0368368760152706,-1.49849804955471
1.718,4.418,11.677,5.305000000000001,-0.38376299592851315,-2.8962866272219903,1.5072139821447432,6.166422780221166,0.03595378259108319,0.06440264939859076,0.050999999999999934,10.1855,11.972,-2.5175,-0.6624484442407077,-2.4130049573447603,0.562641790965412,6.235450552137541,6.172705965528345,0.008159414253073453,4.660542749999999,7.011194124999999,-8.782601875,3.3260183735155655,7.15024251861141,-9.26408285702605,0.26299156918738387,2.388863815336803,-1.9640065815652608
1.76,-0.082,6.237,14.095,-0.6247929656289302,-1.9014489535852221,0.5505990191266511,6.130468997630082,0.1244419756671957,0.09826203688728075,0.04200000000000004,5.9955,10.8945,4.8375,-0.802074784400254,-2.2491185405824927,0.823044915362966,6.200805766485454,6.268437275000234,0.039269908169872414,5.00034375,7.491390625,-8.733881875,4.23766886351138,7.525990596232218,-9.099818232778382,0.42182900116494987,2.6970647107485197,-2.3496485044511544
1.803,-0.572,3.597,8.135,0.6459812627481413,-1.6548339302784236,-0.594686036032028,6.141464571917647,0.20943951023931956,0.08395033702092725,0.04299999999999993,2.8555,7.794500000000001,8.8625,-0.5950787351137266,-2.155045293899998,0.5285206040889229,6.169477106412156,0.07526732399225543,0.06736970912698112,5.1906402499999995,7.893204125,-8.439331875,4.8840717474131905,7.8671081519781705,-8.644199937034486,0.6179464242998278,3.0280163338350423,-2.73114489510213
1.847,-7.512,6.627000000000001,8.985000000000001,0.5477192258608605,-0.06990043654237289,-0.5489584096297765,6.166422780221166,0.22479840765686965,0.054628805587422516,0.04400000000000004,-0.9369999999999998,7.034500000000001,9.13,0.04628613176288962,-1.6306174869070023,0.22854213890239752,6.151194782497515,0.14865841903861704,0.07531095722355531,5.23284725,8.219442125,-8.043496875,5.251642547668163,8.258819399276955,-7.990739255403089,0.8409321387916178,3.3827867399626554,-3.0971135573357573
1.889,-4.9719999999999995,5.867000000000001,7.385000000000001,0.8990540042873191,-0.12330751165339937,-0.3023433863229777,6.176371156957534,0.23020892833805207,0.025132741228718343,0.04200000000000004,-3.2845,5.582,9.65,0.3669903818168477,-0.9373727080148545,-0.22384720321453278,6.153681876681607,0.19722220547535924,0.06549348018108721,5.14419575,8.484388625000001,-7.649116875000001,5.426598549140669,8.618671083361962,-7.29569230197121,1.0651752018246035,3.737214040098073,-3.418128620040618
1.932,-2.4619999999999997,9.377,5.635000000000001,0.7648381848089552,0.96647607329186,-0.2587101550231195,6.183876072741109,0.21170843826691219,6.26677921221084,0.04299999999999993,-3.8794999999999997,6.367000000000001,7.535000000000001,0.7143981694263191,-0.22039145129558396,-0.4261744967519754,6.167033645459364,0.21903882112528836,0.03682644721708038,4.99016975,8.741292125000001,-7.279639375000001,5.431092243112301,9.024358681846493,-6.585538626918815,1.298615553858042,4.116539180050054,-3.716575085011753
1.977,0.788,8.027,5.705,0.46708501441872247,1.8979582950812337,0.03258529713473413,6.181781677638716,0.12880529879718153,6.24496259656091,0.04500000000000015,-3.5394999999999994,7.474500000000001,6.9275,0.6696741073439644,0.6678066050443303,-0.26935666346028486,6.177112921889631,0.19888026826475386,0.006283185307179549,4.823242249999999,9.052725875000002,-6.954233125,5.136002523605756,9.474242940447889,-6.118583881080288,1.536375186109199,4.5327577165516795,-4.0024178414417335
2.019,4.628,11.617,2.525,0.45504224257996156,2.4020093830571962,-1.2950866648573525,6.209008813969827,0.03822271061867582,6.218782657780995,0.04200000000000004,-0.5044999999999997,8.722000000000001,5.3125,0.6465048615237396,1.2857840599442225,-0.4558887272671789,6.187759430326796,0.1522363440052054,6.259710628740263,4.738318249999999,9.392852375000002,-6.697193125,4.793220565010262,9.940668331816385,-5.808431893580148,1.7448888709701356,4.94047085326923,-4.252885172709603
2.061,8.508,10.097000000000001,-1.235,-0.16018631874803954,2.341970056788591,-1.2994499879873382,6.264684817108447,6.225414908938574,6.2177354602297985,0.041999999999999815,2.8655,9.7795,3.1575,0.38169478076489993,1.9021034520547202,-0.705165377683269,6.209837845364524,0.08024151236043932,6.237064981695636,4.787899249999999,9.781383875000001,-6.5193231250000006,4.567730671561225,10.379806228968722,-5.700568647736939,1.941468846938136,5.367200819045715,-4.494574184077261
2.104,12.128,13.617,-8.295,-0.16123351629923616,1.502990285354917,0.23766148424406788,6.269048140238432,6.141290038992447,6.2264621064897705,0.04300000000000015,6.513,10.839500000000001,-0.32499999999999996,0.1501768554878521,2.0362320050704845,-0.581072467866472,6.231130862238856,6.275025892926513,6.226985705265369,4.9895369999999994,10.224692375000004,-6.458424375,4.397933653722441,10.818720096416328,-5.896145698521991,2.1342306299317357,5.822969135041495,-4.743903542521829
