time,[raw] acc (e_r),[raw] acc (e_theta),[raw] acc (e_phi),[raw] w (e_r),[raw] w (e_theta),[raw] w (e_phi),[raw] euler (alpha),[raw] euler (beta),[raw] euler (gamma),delta time,acc (e_r),acc (e_theta),acc (e_phi),w (e_r),w (e_theta),w (e_phi),euler (alpha),euler (beta),euler (gamma),vel (e_r),vel (e_theta),vel (e_phi),acc (x),acc (y),acc (z),vel (x),vel (y),vel (z),pos (x),pos (y),pos (z)
0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0007189308287619532,0.0010538263748731181,-0.0014052855932647243,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038000000000000034,2.395568180603877e-05,-0.00012580078713785725,1.1107941843023566e-05,-0.0015727674842871502,0.0021663614453601497,-0.0028124550810819248,0,0,0,4.5515795431473706e-07,-2.3902149556192897e-06,2.1105089501744794e-07,2.395568180603877e-05,-0.00012580078713785725,1.1107941843023566e-05,4.5515795431473706e-07,-2.3902149556192897e-06,2.1105089501744794e-07,8.648001131980011e-09,-4.541408415676654e-08,4.009967005331514e-09
0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03799999999999992,0.0008145822992993404,-0.004298442241197984,0.0003695843125825867,-0.0034118542359794285,0.004369366404445527,-0.005605269705990866,0,0,0,1.1531797002630907e-05,-6.082084160349237e-05,5.244203679425942e-06,0.0008145822992993404,-0.004298442241197984,0.0003695843125825867,1.1531797002630907e-05,-6.082084160349237e-05,5.244203679425942e-06,1.6913076505193765e-07,-8.915015513956113e-07,7.711982528694573e-08
0.863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038000000000000034,0.010399725018927835,-0.055263665260184815,0.004545970800083453,-0.0061240552126407746,0.007163268671809338,-0.009367885104100542,0.0,0.0,0.0,0.000173760616661444,-0.0009217778584424057,7.6659653463604e-05,0.010399725018927835,-0.055263665260184815,0.004545970800083453,0.000173760616661444,-0.0009217778584424057,7.6659653463604e-05,2.7996588610648952e-06,-1.4833132321775387e-05,1.243411875305453e-06
0.904,0.0,0.0,0.0,-0.011833332328521554,0.021729349187329404,-0.03408628029144925,0.0,0.0,0.0,0.041000000000000036,0.05293900663770902,-0.28515582207620743,0.021034187866163994,-0.008983270404574265,0.00935673243238091,-0.013238646228808621,0.0,0.0,0.0,0.0013179527057241706,-0.007056980168442584,0.0005467078996319447,0.05293900663770902,-0.28515582207620743,0.021034187866163994,0.0013179527057241706,-0.007056980168442584,0.0005467078996319447,2.8096366520190947e-05,-0.0001499618679127789,1.1908983441113262e-05
0.944,0.179,-0.9400000000000001,0.083,-0.023701571242082997,0.022776546738526002,-0.012269664641520135,0.0010471975511965976,-0.1647590813882647,-1.6416566944258664,0.039999999999999925,0.12315955842265919,-0.6691963857608361,0.039580364660864766,-0.010698064444134875,0.009700050464963014,-0.01648607770711861,0.0002617993877991494,-0.041189770347066175,-0.4104141736064666,0.004797811028701153,-0.02589509305112178,0.0017965229452083136,0.12450989146511084,-0.6274111061266093,-0.23539599752172524,0.004815584787372424,-0.025345094307936276,-0.0018228534220200154,0.0001397680709214038,-0.0007423204695518286,7.836977542482058e-06
0.983,0.159,-0.9899999999999999,0.013,-0.009564404300928926,0.01090830782496456,-0.013316862192716735,0.0010471975511965976,-0.1647590813882647,-1.6416566944258664,0.039000000000000035,0.17389245257633343,-0.9041561308021079,0.043786061085640635,-0.00985609917314341,0.007921210604113792,-0.019051655545857995,0.0005235987755982988,-0.08237954069413235,-0.8208283472129332,0.010750728292048702,-0.057754859829376615,0.003477215727904757,0.1764338991565261,-0.6378372032779421,-0.6416298733837477,0.010854461599555845,-0.05213719430558587,-0.01980043555897839,0.0004387972170111912,-0.002249128431648162,-0.0003307527090452169
1.022,0.229,-0.93,0.053,-0.019338248112097174,-0.00445058959258554,-0.03077015471266003,0.0010471975511965976,-0.16580627893946132,-1.6406094968746698,0.039000000000000035,0.20020493733917924,-0.9518984128953626,0.0549361231352324,-0.005419395195352226,0.004990886139604136,-0.021388223080785616,0.0007853981633974482,-0.12383111042899768,-1.2309807214316006,0.018043957007574406,-0.09398544423536202,0.005302112463010893,0.20471538501643277,-0.34550356048216074,-0.8876539212241152,0.018270076137771863,-0.0711605195443033,-0.04978725578167086,0.0010043136661251843,-0.004708027553521411,-0.0016927170911723772
1.062,0.199,-0.9700000000000001,0.103,-0.0062482787221397,-8.726646259971648e-05,-0.012269664641520135,0.0020943951023931952,-0.1668534764906579,-1.6406094968746698,0.040000000000000036,0.2067016396474443,-0.9582879228855495,0.05597013290659933,0.0027231644508115805,0.0022836925495205744,-0.023844699397795807,0.001308996938995747,-0.16554447955166215,-1.641133095650268,0.02631703231213873,-0.13242857761666932,0.007688079465995584,0.21186163844180977,0.046069604274558765,-0.9576879473385695,0.026760596786889246,-0.07789773520778812,-0.08771400565065499,0.001901584520908864,-0.0077176824377380715,-0.004391096300183867
1.106,0.219,-0.9500000000000001,0.033,0.00020943951023931956,-0.003403392041388943,-0.026406831582674203,0.0033161255787892262,-0.1668534764906579,-1.6406094968746698,0.04400000000000004,0.1990607891118833,-0.9710814132733898,0.004645082069491886,0.012994154368426103,0.000721434944215067,-0.026296819340361644,0.0018762289458939042,-0.16606807832726045,-1.640871296262469,0.035208339662514306,-0.17459651342143168,0.009206701600352012,0.1952927916367395,0.09597356420830896,-0.9671068639308712,0.0357233594952467,-0.07146232509127776,-0.12949446717338745,0.0032821090664999176,-0.011068262130018098,-0.009220918111643571
